Episode;Quote;Author;Who said it
3�18 The Crossing;No man is happy without a delusion of some kind. Delusions are as necessary to our happiness as realities.;Christian Nestell Bovee;Prentiss
3�18 The Crossing;A woman must not depend upon the protection of man, but must be taught to protect herself. ;Susan B. Anthony;JJ
3�19 Tabula Rasa;All changes, even the most longed for, have their melancholy for what we leave behind us is a part of ourselves. We must die to one life before we can enter another.;Anatole France;Hotch
3�19 Tabula Rasa;What though the radiance that was once so bright, be now forever taken from my sight. Though nothing can bring back the hour of splendor in the grass, of glory in the flower We will grieve not, rather find strength in what remains behind.;William Wordsworth;Reid
3�20 Lo-Fi;The man visited by ecstasies and visions, who takes dreams for realities is an enthusiast the man who supports his madness with murder is a fanatic.;Voltaire;Hotch
4�01 Mayhem;Never think that war, no matter how necessary, nor how justified, is not a crime.;Ernest Hemingway;Hotch
4�02 The Angel Maker;�We all die. The goal isn't to live forever, the goal is to create something that will.�;Chuck Palahniuk;Hotch
4�02 The Angel Maker;�The past is our definition. we may strive, with good reason, to escape it, or to escape what is bad in it, but we will escape it only by adding something better to it.�;Wendell Berry;Hotch
4�03 Minimal Loss;To follow by faith alone is to follow blindly.;Benjamin Franklin;Reid
4�03 Minimal Loss;Reason is not automatic. Those who deny it cannot be conquered by it.;Ayn Rand;Prentiss
4�04 Paradise;A fool's paradise is a wise man's hell.;Thomas Fuller;Hotch
4�04 Paradise;Things are not always what they seem the first appearance deceives many the intelligence of a few perceives what has been carefully hidden.;Phaedrus;Hotch
4�05 Catching Out;Plenty sit still. Hunger is a wanderer.;Zulu proverb;Prentiss
4�05 Catching Out;Beyond the East the sunrise, beyond the West the sea, And the East and West the wander-thirst that will not let me be.;Gerald Gould;Prentiss
4�06 The Instincts;Who speaks to the instincts speaks to the deepest in mankind and finds the readiest response.;Amos Bronson Alcott;Hotch
4�06 The Instincts;I think the truly natural things are dreams, which nature can't touch with decay.;Bob Dylan;Reid
4�07 Memoriam;�What was silent in the father speaks in the son, and often I found in the son the unveiled secret of the father.�;Friedrich Nietzsche;Reid
4�07 Memoriam;�There is no refuge from memory and remorse in this world. The spirits of our foolish deeds haunt us, with or without repentance.�;Gilbert Parker;Reid
4�08 Masterpiece;Let us consider that we are all insane. It will explain us to each other it will unriddle many riddles�;Mark Twain;Rossi
4�08 Masterpiece;Man must evolve for all human conflict a method which rejects revenge, aggression and retaliation. The foundation of such a method is love.;Martin Luther King, Jr.;Rossi
4�09 52 Pickup;The minute people fall in love, they become liars.;Harlan Ellison;Prentiss
4�09 52 Pickup;Cleanliness becomes more important when godliness is unlikely.;P.J. O'Rourke;Rossi
4�10 Brothers in Arms;We are all brothers under the skin, and I, for one, would be willing to skin humanity to prove it.;Ayn Rand;Morgan
4�10 Brothers in Arms;�for he today who sheds his blood with me shall be my brother.;William Shakespeare;Morgan
4�11 Normal;Every normal man must be tempted at times to spit on his hands, hoist the black flag, and begin to slit throats.;H.L. Mencken;Hotch
4�11 Normal;There's no tragedy in life like the death of a child. Things never get back to the way they were.;President Dwight Eisenhower;Rossi
4�12 Soul Mates ;No mortal can keep a secret. If his lips are silent, he chatters with his fingertips betrayal oozes out of him at every pore.;Sigmund Freud;Reid
4�12 Soul Mates ;Delay is the deadliest form of denial.;British Historian C. Northcote Parkinson;Morgan
4�13 Bloodline;There is no doubt that it is around the family and the home that all the greatest virtues, the most dominating virtues of human society, are created, strengthened and maintained.;Winston Churchill;Prentiss
4�13 Bloodline;The strength of a family, like the strength of an army, is in its loyalty to each other.;Mario Puzo;Hotch
4�14 Cold Comfort;And so, all the night-tide, I lay down by the side. Of my darling, my darling, my life and my bride. In the sepulchre there by the sea. In her tomb by the sounding sea.;Edgar Allan Poe (this is from his poem, Annabel);JJ
4�14 Cold Comfort;For those who believe, no proof is necessary. For those who don't believe, no proof is possible.;Stuart Chase;Rossi
4�15 Zoe's Reprise;I never teach my pupils I only attempt to provide the conditions in which they can learn.;Albert Einstein;Rossi
4�15 Zoe's Reprise;In youth we learn in age we understand.;Austrian novelist, Marie von Ebner-Eschenbach;Rossi
4�16 Pleasure is my Business;The prostitute is not, as feminists claim, the victim of men, but rather their conqueror, an outlaw, who controls the sexual channels between nature and culture.;Camille Paglia;Hotch
