Episode;Quote;Author;Who said it
13�21 Mixed Signals ;Holding on is believing that there�s only a past letting go is knowing that there�s a future.;Daphne Rose Kingma;Dr. Tara Lewis
13�22 Believer ;A thing is not necessarily true because a man dies for it.;Oscar Wilde;Penelope Garcia
12�01 The Crimson King;Anger's my meat. I sup upon myself and so shall starve with feeding.;William Shakespeare;David Rossi
12�01 The Crimson King;The evil that men do lives after them. The good is oft interred with their bones.;William Shakespeare;Aaron Hotchner
12�02 Sick Day;Loss and possession, death and life are one. There falls no shadow where there shines no sun.;Hilaire Belloc;Jennifer Jareau
12�02 Sick Day;Love begins by taking care of the closet ones�the ones at home.;Mother Teresa;Jennifer Jareau
12�03 Taboo;Sinful and forbidden pleasures are like poisoned bread. They may satisfy appetite for the moment, but there is death in them at the end.;Tyron Edwards;Emily Prentiss
12�03 Taboo;Three things cannot long stay hidden. The sun, the moon, and the truth.;Buddha;Luke Alvez
12�04 Keeper;Beware the man who does not talk and the dog that does not bark.;Cheyenne proverb;Luke Alvez
12�04 Keeper;What greater thing is there for human souls than to feel that they are joined for life, to be with each other in silent unspeakable memories?;George Elliot ;Spencer Reid
12�05 The Anti-Terror Squad ;The malicious have a dark happiness.;Victor Hugo;Spencer Reid
12�05 The Anti-Terror Squad ;Freedom is what you do with what's been done to you.;Jean-Paul Sartre;Spencer Reid.
12�06 Elliott's Pond;The strength of a family, like the strength of an army, is in its loyalty to each other.;Mario Puzo;David Rossi
12�06 Elliott's Pond;So long as the memory of certain beloved friends lives in my heart, I shall say that life is good.;Helen Keller;Penelope Garcia
12�07 Mirror Image;A sibling may be the keeper of one's' identity, the only persons with the keys to one's unfettered, more fundamental self.;Marian Sandmaier ;Dr. Tara Lewis
12�07 Mirror Image;The father said: 'You are always with me and everything I have is yours. But we had to celebrate and be glad, because this brother of yours was dead and is alive again. He was lost and is found.';The Gospel of Luke ;Dr. Tara Lewis
12�08 Scarecrow;God sometimes takes us into troubled waters, not to drown us, but to cleanse us.;Unknown;Spencer Reid
12�08 Scarecrow;Sometimes good things fall apart so that better things can fall together.;Marilyn Monroe;David Rossi
12�09 Profiling 202;What madness is it to be expecting evil before it comes?;Lucius Annaeus Seneca;David Rossi
12�09 Profiling 202;The life of the dead is placed in the memory of the living.;Marcus Tullius Cicero;Stephen Walker & David Rossi
12�10 Seek and Destroy;Now, we'll start this band of robbers and call it Tom Sawyer's gang. Everybody that wants to join has to take an oath and write his name in blood.;Mark Twain;Stephen Walker
12�10 Seek and Destroy;A gang is where a coward go to hide.;Mickey Mantle;Emily Prentiss
12�11 Surface Tension;We must remember that Satan has his miracles, too.;John Calvin;Spencer Reid
12�11 Surface Tension;Time moves in one direction, memory in another. ;William Gibson;Spencer Reid
12�12 A Good Husband;A good husband makes a good wife.;John Florio;David Rossi
12�12 A Good Husband;Nothing is more sad than the death of an illusion.;Arthur Koestler;Emily Prentiss
12�13 Spencer;There is not a righteous man on Earth who does what is right and never sins. ;Ecclesiastes 7:20. ;Spencer Reid
12�13 Spencer;There are so many fragile things after all. People break so easily, and so do dreams and hearts.;Neil Gaiman;Jennifer Jareau
12�14 Collision Course;The illusion of control make the helplessness seem more palatable.;Allie Brosh;Emily Prentiss
12�14 Collision Course;Loss of control is always the source of fear. It is also, however, always the source of change. ;James Frey;Spencer Reid
12�15 Alpha Male;�Strong men, men who are truly role models, don't need to put down women to make themselves feel powerful.;Michelle Obama;Penelope Garcia
12�15 Alpha Male;One of the many lessons that one learns in prison is that things are what they are and will be what they will be.;Oscar Wilde;Spencer Reid
12�16 Assistance is Futile;To go against conscience is neither right nor safe. Here I stand. I can do no other. ;Martin Luther;Spencer Reid
12�16 Assistance is Futile;Hope is being able to see that there is light, despite all of the darkness. ;Desmond Tutu;Spencer Reid
12�20 Unforgettable;The past is never where you think you left it.;Katherine Anne Porter;Stephen Walker
12�20 Unforgettable;Life can only be understood backwards, but it must be lived forwards.;Soren Kiekegaard;Spencer Reid
12�21 Green Light ;Every man's life ends the same way. �It is only the details of how he lived and how he died that distinguish one man from another.;Ernest Hemingway;Spencer Reid
12�22 Red Light ;The villainy you teach me I will execute, and it shall go hard, but I will better the instruction.;William Shakespeare;Emily Prentiss
